"id"	"name"	"description"	"parent_id"	"sort_order"	"created_at"
"1"	"玄幻"	"玄幻大类"		"1"	"1/1/2026 00:00:00"
"2"	"仙侠"	"仙侠大类"		"2"	"1/1/2026 00:00:00"
"3"	"都市"	"都市大类"		"3"	"1/1/2026 00:00:00"
"4"	"历史"	"历史大类"		"4"	"1/1/2026 00:00:00"
"5"	"科幻"	"科幻大类"		"5"	"1/1/2026 00:00:00"
"6"	"东方玄幻"	"东方玄幻分支"	"1"	"1"	"1/1/2026 00:00:00"
"7"	"西方玄幻"	"西方玄幻分支"	"1"	"2"	"1/1/2026 00:00:00"
"8"	"异界大陆"	"异界大陆"	"1"	"3"	"1/1/2026 00:00:00"
"9"	"修真文明"	"修真文明"	"2"	"1"	"1/1/2026 00:00:00"
"10"	"神话修真"	"神话修真"	"2"	"2"	"1/1/2026 00:00:00"
"11"	"现代修真"	"现代修真"	"2"	"3"	"1/1/2026 00:00:00"
"12"	"都市生活"	"都市生活"	"3"	"1"	"1/1/2026 00:00:00"
"13"	"职场商战"	"职场商战"	"3"	"2"	"1/1/2026 00:00:00"
"14"	"校园青春"	"校园青春"	"3"	"3"	"1/1/2026 00:00:00"
"15"	"架空历史"	"架空历史"	"4"	"1"	"1/1/2026 00:00:00"
"16"	"古代穿越"	"古代穿越"	"4"	"2"	"1/1/2026 00:00:00"
"17"	"历史传记"	"历史传记"	"4"	"3"	"1/1/2026 00:00:00"
"18"	"星际未来"	"星际未来"	"5"	"1"	"1/1/2026 00:00:00"
"19"	"时空穿梭"	"时空穿梭"	"5"	"2"	"1/1/2026 00:00:00"
"20"	"机甲战争"	"机甲战争"	"5"	"3"	"1/1/2026 00:00:00"
