"id"	"user_id"	"novel_id"	"content"	"created_at"	"parent_id"
"1"	"3"	"1"	"这本书太好看了！"	"1/2/2026 12:00:00"	
"2"	"5"	"1"	"期待更新"	"1/2/2026 13:00:00"	
"3"	"2"	"2"	"修仙文经典"	"2/2/2026 14:00:00"	
"4"	"7"	"3"	"都市生活真实"	"3/2/2026 15:00:00"	
"5"	"1"	"4"	"历史考究"	"4/2/2026 16:00:00"	
"6"	"8"	"5"	"科幻设定新颖"	"5/2/2026 17:00:00"	
"7"	"10"	"6"	"武打场面精彩"	"6/2/2026 18:00:00"	
"8"	"4"	"7"	"医学知识专业"	"7/2/2026 19:00:00"	
"9"	"6"	"8"	"青春回忆"	"8/2/2026 20:00:00"	
"10"	"9"	"9"	"权谋深刻"	"9/2/2026 21:00:00"	
"11"	"11"	"1"	"回复：确实好看"	"1/2/2026 12:30:00"	"1"
"12"	"12"	"1"	"回复：同求更新"	"1/2/2026 13:15:00"	"2"
"13"	"13"	"2"	"回复：经典+1"	"2/2/2026 14:20:00"	"3"
"14"	"14"	"3"	"回复：深有同感"	"3/2/2026 15:10:00"	"4"
"15"	"15"	"4"	"回复：作者厉害"	"4/2/2026 16:05:00"	"5"
"16"	"16"	"5"	"回复：科幻迷必看"	"5/2/2026 17:30:00"	"6"
"17"	"17"	"6"	"回复：动作描写一流"	"6/2/2026 18:20:00"	"7"
"18"	"18"	"7"	"回复：涨知识了"	"7/2/2026 19:45:00"	"8"
"19"	"19"	"8"	"回复：怀念校园"	"8/2/2026 20:10:00"	"9"
"20"	"20"	"9"	"回复：分析透彻"	"9/2/2026 21:30:00"	"10"
