"id"	"novel_id"	"day_date"	"daily_views"	"daily_favorites"	"daily_comments"	"created_at"
"1"	"1"	"2025-10-01"	"150"	"25"	"12"	"2026-02-11 10:35:28"
"2"	"1"	"2025-10-02"	"180"	"30"	"15"	"2026-02-11 10:35:28"
"3"	"1"	"2025-10-03"	"210"	"35"	"18"	"2026-02-11 10:35:28"
"4"	"1"	"2025-10-04"	"190"	"28"	"14"	"2026-02-11 10:35:28"
"5"	"1"	"2025-10-05"	"230"	"40"	"20"	"2026-02-11 10:35:28"
"6"	"2"	"2025-10-01"	"320"	"50"	"25"	"2026-02-11 10:35:28"
"7"	"2"	"2025-10-02"	"350"	"55"	"28"	"2026-02-11 10:35:28"
"8"	"2"	"2025-10-03"	"380"	"60"	"30"	"2026-02-11 10:35:28"
"9"	"2"	"2025-10-04"	"340"	"52"	"26"	"2026-02-11 10:35:28"
"10"	"2"	"2025-10-05"	"400"	"65"	"32"	"2026-02-11 10:35:28"
"11"	"3"	"2025-10-01"	"80"	"15"	"8"	"2026-02-11 10:35:28"
"12"	"3"	"2025-10-02"	"90"	"18"	"10"	"2026-02-11 10:35:28"
"13"	"3"	"2025-10-03"	"95"	"20"	"12"	"2026-02-11 10:35:28"
"14"	"3"	"2025-10-04"	"85"	"16"	"9"	"2026-02-11 10:35:28"
"15"	"3"	"2025-10-05"	"100"	"22"	"14"	"2026-02-11 10:35:28"
