"id"	"name"	"resource"	"action"	"description"
"1"	"novel:read"	"novel"	"read"	"阅读小说"
"2"	"novel:create"	"novel"	"create"	"创建小说"
"3"	"novel:edit_own"	"novel"	"edit"	"编辑自己的小说"
"4"	"novel:edit_any"	"novel"	"edit"	"编辑任何小说"
"5"	"novel:delete_own"	"novel"	"delete"	"删除自己的小说"
"6"	"novel:delete_any"	"novel"	"delete"	"删除任何小说"
"7"	"comment:create"	"comment"	"create"	"发表评论"
"8"	"comment:delete_own"	"comment"	"delete"	"删除自己的评论"
"9"	"comment:delete_any"	"comment"	"delete"	"删除任何评论"
"10"	"comment:delete_on_own_novel"	"comment"	"delete"	"删除自己小说下的评论"
"11"	"comment:like"	"comment"	"like"	"点赞评论"
"12"	"favorite:add"	"favorite"	"add"	"收藏小说"
"13"	"user:manage"	"user"	"manage"	"管理用户"
