"id"	"follower_id"	"followee_id"	"created_at"
"1"	"1"	"2"	"20/2/2026 11:00:00"
"2"	"1"	"3"	"20/2/2026 11:02:00"
"3"	"1"	"4"	"20/2/2026 11:04:00"
"4"	"1"	"5"	"20/2/2026 11:06:00"
"5"	"2"	"1"	"20/2/2026 11:08:00"
"6"	"2"	"3"	"20/2/2026 11:10:00"
"7"	"2"	"4"	"20/2/2026 11:12:00"
"8"	"3"	"1"	"20/2/2026 11:14:00"
"9"	"3"	"2"	"20/2/2026 11:16:00"
"10"	"3"	"5"	"20/2/2026 11:18:00"
"11"	"4"	"1"	"20/2/2026 11:20:00"
"12"	"4"	"2"	"20/2/2026 11:22:00"
"13"	"4"	"6"	"20/2/2026 11:24:00"
"14"	"5"	"1"	"20/2/2026 11:26:00"
"15"	"5"	"3"	"20/2/2026 11:28:00"
"16"	"5"	"7"	"20/2/2026 11:30:00"
"17"	"6"	"1"	"20/2/2026 11:32:00"
"18"	"6"	"2"	"20/2/2026 11:34:00"
"19"	"6"	"8"	"20/2/2026 11:36:00"
"20"	"7"	"1"	"20/2/2026 11:38:00"
"21"	"7"	"3"	"20/2/2026 11:40:00"
"22"	"7"	"9"	"20/2/2026 11:42:00"
"23"	"8"	"1"	"20/2/2026 11:44:00"
"24"	"8"	"4"	"20/2/2026 11:46:00"
"25"	"8"	"10"	"20/2/2026 11:48:00"
"26"	"9"	"1"	"20/2/2026 11:50:00"
"27"	"9"	"5"	"20/2/2026 11:52:00"
"28"	"10"	"1"	"20/2/2026 11:54:00"
"29"	"10"	"2"	"20/2/2026 11:56:00"
"30"	"10"	"3"	"20/2/2026 11:58:00"
